Wed, 14 Sep 2016 16:16:18 INFO     <-getNicList
Wed, 14 Sep 2016 16:16:18 DEBUG    /api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641/nics/1bbd7248-7a5f-11e6-a8fe-42f2e9ef1641
Wed, 14 Sep 2016 16:16:19 DEBUG    {u'element-uri': u'/api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641/nics/1bbd7248-7a5f-11e6-a8fe-42f2e9ef1641', u'name': u'mhrkjhkj', u'parent': u'/api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641', u'element-id': u'1bbd7248-7a5f-11e6-a8fe-42f2e9ef1641', u'device-number': u'000d', u'virtual-switch-uri': u'/api/virtual-switches/4197aac4-57be-11e6-b930-42f2e9ef1641', u'type': u'osd', u'class': u'nic', u'description': u'qfjl'}
Wed, 14 Sep 2016 16:16:19 DEBUG    [<CreateTemplate.Object instance at 0x7f5793317b48>, <CreateTemplate.Object instance at 0x7f57932f1f38>, <CreateTemplate.Object instance at 0x7f57933176c8>, <CreateTemplate.Object instance at 0x7f57932f1488>, <CreateTemplate.Object instance at 0x7f5793317638>, <CreateTemplate.Object instance at 0x7f57933175a8>, <CreateTemplate.Object instance at 0x7f5793317518>]
Wed, 14 Sep 2016 16:16:19 INFO     <-getNicList
Wed, 14 Sep 2016 16:16:19 DEBUG    /api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641/nics/006fbcbc-7a5f-11e6-a8fe-42f2e9ef1641
Wed, 14 Sep 2016 16:16:19 DEBUG    {u'element-uri': u'/api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641/nics/006fbcbc-7a5f-11e6-a8fe-42f2e9ef1641', u'name': u'bjgfh', u'parent': u'/api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641', u'element-id': u'006fbcbc-7a5f-11e6-a8fe-42f2e9ef1641', u'device-number': u'0007', u'virtual-switch-uri': u'/api/virtual-switches/3e82cc56-57be-11e6-b930-42f2e9ef1641', u'type': u'osd', u'class': u'nic', u'description': u''}
Wed, 14 Sep 2016 16:16:19 DEBUG    [<CreateTemplate.Object instance at 0x7f5793317b48>, <CreateTemplate.Object instance at 0x7f57932f1f38>, <CreateTemplate.Object instance at 0x7f57933176c8>, <CreateTemplate.Object instance at 0x7f57932f1488>, <CreateTemplate.Object instance at 0x7f5793317638>, <CreateTemplate.Object instance at 0x7f57933175a8>, <CreateTemplate.Object instance at 0x7f5793317518>, <CreateTemplate.Object instance at 0x7f5793317488>]
Wed, 14 Sep 2016 16:16:19 INFO     <-getNicList
Wed, 14 Sep 2016 16:16:19 INFO     ->getHbaList
